date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:29:14	12042/12042	---MCZ	200	added ('OK')	text/css	etag:W/%225f88539e-376b%22	https://s0.wp.com/wp-content/mu-plugins/actionbar/actionbar.css?v=20201002	C:/Users/HP/Desktop/own%20website/s0.wp.com/wp-content/mu-plugins/actionbar/actionbar61ea.css	(from https://vedantdave117.com/)
11:29:15	15569/15569	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f88539e-4f45%22	https://s0.wp.com/wp-content/mu-plugins/actionbar/actionbar.js?v=20201002	C:/Users/HP/Desktop/own%20website/s0.wp.com/wp-content/mu-plugins/actionbar/actionbar61ea.js	(from https://vedantdave117.com/)
11:29:15	13423/13423	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e6029bb-4e62%22	http://stats.wp.com/w.js?61	C:/Users/HP/Desktop/own%20website/stats.wp.com/w7f39.js	(from https://vedantdave117.com/)
11:29:15	174/174	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2023%20Oct%202020%2015:29:17%20GMT	https://vedantdave117.com/wp-content/plugins/ie-sitemode/custom-jumplist.php	C:/Users/HP/Desktop/own%20website/vedantdave117.com/wp-content/plugins/ie-sitemode/custom-jumplist.php	(from https://vedantdave117.com/)
11:29:15	43/43	---M--	200	added ('OK')	image/gif	date:Fri,%2023%20Oct%202020%2015:29:17%20GMT	https://pixel.wp.com/b.gif?v=noscript	C:/Users/HP/Desktop/own%20website/pixel.wp.com/b0b80.gif	(from https://vedantdave117.com/)
11:29:16	344/344	---MCZ	200	added ('OK')	text/plain	date:Fri,%2023%20Oct%202020%2015:29:18%20GMT	https://s2.wp.com/robots.txt		(from https://vedantdave117.com/)
11:29:17	115311/115311	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ce2a2b4-1c26f%22	https://s2.wp.com/_static/??/wp-includes/js/jquery/jquery.js,/wp-content/js/mobile-useragent-info.js?m=1558356653j	C:/Users/HP/Desktop/own%20website/s2.wp.com/_static/index6f89.html	(from https://vedantdave117.com/portfolio-117/)
11:29:17	487041/487041	---M--	200	added ('OK')	image/jpeg	date:Mon,%2027%20Jul%202020%2017:51:48%20GMT	https://theprojectpages.files.wordpress.com/2020/07/2020_enhanced_colors_low.jpg	C:/Users/HP/Desktop/own%20website/theprojectpages.files.wordpress.com/2020/07/2020_enhanced_colors_low.jpg	(from https://vedantdave117.com/portfolio-117/)
11:29:18	86981/86981	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Jul%202020%2000:51:15%20GMT	https://theprojectpages.files.wordpress.com/2020/07/face_detection.png?w=598	C:/Users/HP/Desktop/own%20website/theprojectpages.files.wordpress.com/2020/07/face_detection8eb1.png	(from https://vedantdave117.com/portfolio-117/)
11:29:19	11740/11740	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Jul%202020%2000:51:13%20GMT	https://theprojectpages.files.wordpress.com/2020/07/comparison.png?w=915	C:/Users/HP/Desktop/own%20website/theprojectpages.files.wordpress.com/2020/07/comparison5a42.png	(from https://vedantdave117.com/portfolio-117/)
11:29:19	223259/223259	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Jul%202020%2000:51:17%20GMT	https://theprojectpages.files.wordpress.com/2020/07/result.png?w=977	C:/Users/HP/Desktop/own%20website/theprojectpages.files.wordpress.com/2020/07/result126c.png	(from https://vedantdave117.com/portfolio-117/)
11:29:20	33553/33553	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Jan%202020%2002:22:14%20GMT	https://theprojectpages.files.wordpress.com/2020/01/20160311-sad-instacart-carrot.0.1519260751.0-1.jpg	C:/Users/HP/Desktop/own%20website/theprojectpages.files.wordpress.com/2020/01/20160311-sad-instacart-carrot.0.1519260751.0-1.jpg	(from https://vedantdave117.com/portfolio-117/)
11:29:20	11726/11726	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Jan%202020%2002:12:23%20GMT	https://theprojectpages.files.wordpress.com/2020/01/order-pattern-of-hour-by-day-2.png	C:/Users/HP/Desktop/own%20website/theprojectpages.files.wordpress.com/2020/01/order-pattern-of-hour-by-day-2.png	(from https://vedantdave117.com/portfolio-117/)
11:29:20	34347/34347	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Jan%202020%2002:11:52%20GMT	https://theprojectpages.files.wordpress.com/2020/01/reorder-by-department-1.png	C:/Users/HP/Desktop/own%20website/theprojectpages.files.wordpress.com/2020/01/reorder-by-department-1.png	(from https://vedantdave117.com/portfolio-117/)
11:29:20	10354/10354	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Jan%202020%2002:12:21%20GMT	https://theprojectpages.files.wordpress.com/2020/01/product-per-order-occurance-2.png	C:/Users/HP/Desktop/own%20website/theprojectpages.files.wordpress.com/2020/01/product-per-order-occurance-2.png	(from https://vedantdave117.com/portfolio-117/)
11:29:21	69737/69737	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Jan%202020%2002:12:20%20GMT	https://theprojectpages.files.wordpress.com/2020/01/departmetal-contribution-2.png	C:/Users/HP/Desktop/own%20website/theprojectpages.files.wordpress.com/2020/01/departmetal-contribution-2.png	(from https://vedantdave117.com/portfolio-117/)
